ID,year,type,division,subdivision,major
376,2012,Major,II,2,Economics
385,2012,Major,II,5,Sociology
386,2012,Major,II,2,Economics
387,2012,Major,I,5,Biological Sciences
389,2012,Major,NA,NA,Journalism
390,2012,Major,II,2,Psychology
392,2012,Major,II,2,Economics
393,2012,Major,II,7,History
398,2012,Major,II,2,Economics
399,2012,Major,NA,NA,Social Policy
400,2012,Major,II,2,Psychology
401,2012,Major,NA,NA,Human Communication Sciences
402,2012,Major,II,2,Psychology
408,2012,Major,NA,NA,Journalism
409,2012,Major,I,1,Mathematics
412,2012,Major,NA,NA,Communication Studies
414,2012,Major,II,5,Political Science
415,2012,Major,I,6,Integrated Science Program
416,2012,Major,III,3.5,Art Theory and Practice
417,2012,Major,II,2,Economics
419,2012,Major,I,4,Earth & Planetary Sciences
420,2012,Major,II,2,Economics
421,2012,Major,NA,NA,Theatre
422,2012,Major,II,5,Anthropology
423,2012,Major,NA,NA,Industrial Engineering
427,2012,Major,I,4,Environmental Sciences
429,2012,Major,NA,NA,Social Policy
430,2012,Major,I,3,Chemistry
438,2012,Major,I,5,Biological Sciences
440,2012,Major,NA,NA,Theatre
442,2012,Major,I,6,Integrated Science Program
443,2012,Major,III,2,English
444,2012,Major,III,1,Spanish
446,2012,Major,I,4,Environmental Sciences
448,2012,Major,NA,NA,Industrial Engineering
449,2012,Major,I,5,Biological Sciences
451,2012,Major,II,5,Political Science
453,2012,Major,II,5,Political Science
458,2012,Major,II,2,Economics
459,2012,Major,II,5,Political Science
463,2012,Major,NA,NA,Journalism
464,2012,Major,II,7,History
467,2012,Major,I,4,Environmental Sciences
468,2012,Major,II,5,Political Science
469,2012,Major,NA,NA,Industrial Engineering
471,2012,Major,II,2,Economics
473,2012,Major,II,2,Economics
474,2012,Major,III,1,Asian Languages and Cultures
476,2012,Major,II,5,Anthropology
478,2012,Major,NA,NA,Journalism
479,2012,Major,II,5,Political Science
481,2012,Major,II,2,Psychology
487,2012,Major,II,2,Economics
492,2012,Major,I,4,Earth & Planetary Sciences
493,2012,Major,NA,NA,Journalism
494,2012,Major,II,5,Sociology
496,2012,Major,II,7,History
499,2012,Major,II,2,Economics
500,2012,Major,II,5,Political Science
501,2012,Major,III,2.5,Classics
502,2012,Major,III,3,Philosophy
503,2012,Major,II,7,History
504,2012,Major,II,2,Psychology
506,2012,Major,NA,NA,Environmental Engineering
511,2012,Major,II,5,Political Science
512,2012,Major,II,6,American Studies
514,2012,Major,I,5,Biological Sciences
515,2012,Major,I,5,Biological Sciences
516,2012,Major,II,5,Anthropology
518,2012,Major,I,5,Biological Sciences
519,2012,Major,NA,NA,Journalism
521,2012,Major,II,2,Psychology
524,2012,Major,II,2,Psychology
526,2012,Major,II,2,Psychology
527,2012,Major,NA,NA,Journalism
529,2012,Major,NA,NA,Radio/Television/Film
531,2012,Major,II,5,Political Science
534,2012,Major,NA,NA,Journalism
536,2012,Major,NA,NA,Theatre
540,2012,Major,NA,NA,Social Policy
545,2012,Major,II,5,Political Science
547,2012,Major,II,2,Economics
549,2012,Major,NA,NA,Radio/Television/Film
550,2012,Major,II,2,Psychology
551,2012,Major,NA,NA,Theatre
553,2012,Major,NA,NA,Learning & Organztnl Change
555,2012,Major,II,2,Economics
557,2012,Major,NA,NA,Journalism
559,2012,Major,II,2,Psychology
560,2012,Major,III,2,English
561,2012,Major,II,2,Economics
565,2012,Major,II,2,Economics
571,2012,Major,II,2,Psychology
572,2012,Major,II,2,Economics
573,2012,Major,II,2,Psychology
574,2012,Major,I,4,Environmental Sciences
575,2012,Major,NA,NA,Human Communication Sciences
578,2012,Major,II,5,Political Science
579,2012,Major,I,6,Integrated Science Program
582,2012,Major,II,2,Economics
584,2012,Major,NA,NA,Social Policy
585,2012,Major,NA,NA,Human Communication Sciences
586,2012,Major,II,7,History
589,2012,Major,NA,NA,Journalism
592,2012,Major,II,5,Political Science
594,2012,Major,I,3,Chemistry
595,2012,Major,I,3,Chemistry
599,2012,Major,I,5,Biological Sciences
601,2012,Major,I,5,Biological Sciences
602,2012,Major,III,1,Asian Languages and Cultures
605,2012,Major,II,7,History
606,2012,Major,II,2,Economics
607,2012,Major,NA,NA,Industrial Engineering
609,2012,Major,NA,NA,Dance
610,2012,Major,NA,NA,Social Policy
611,2012,Major,NA,NA,Human Communication Sciences
612,2012,Major,II,2,Economics
613,2012,Major,II,2,Psychology
615,2012,Major,I,1,Computer Science
616,2012,Major,NA,NA,Drama
617,2012,Major,II,2,Psychology
619,2012,Major,NA,NA,Mechanical Engineering
620,2012,Major,II,5,Political Science
622,2012,Major,II,2,Economics
623,2012,Major,NA,NA,Theatre
624,2012,Major,II,6,American Studies
627,2012,Major,NA,NA,Communication Studies
630,2012,Major,NA,NA,Journalism
632,2012,Major,I,6,Integrated Science Program
633,2012,Major,II,2,Economics
634,2012,Major,NA,NA,Social Policy
636,2012,Major,I,5,Biological Sciences
637,2012,Major,NA,NA,Human Communication Sciences
638,2012,Major,I,5,Biological Sciences
639,2012,Major,III,2,English
641,2012,Major,II,2,Psychology
645,2012,Major,II,2,Economics
646,2012,Major,II,2,Economics
649,2012,Major,I,5,Biological Sciences
651,2012,Major,III,2,English
652,2012,Major,NA,NA,Theatre
653,2012,Major,NA,NA,Applied Mathematics
655,2012,Major,II,2,Psychology
656,2012,Major,I,5,Biological Sciences
657,2012,Major,II,2,Cognitive Science
661,2012,Major,I,5,Biological Sciences
662,2012,Major,III,3,Religious Studies
663,2012,Major,II,2,Economics
666,2012,Major,II,2,Economics
667,2012,Major,NA,NA,Industrial Engineering
669,2012,Major,II,2,Psychology
670,2012,Major,III,2,English
671,2012,Major,II,2,Psychology
672,2012,Major,NA,NA,Theatre
673,2012,Major,I,5,Biological Sciences
675,2012,Major,I,5,Biological Sciences
677,2012,Major,I,5,Biological Sciences
678,2012,Major,NA,NA,Communication Studies
681,2012,Major,II,2,Economics
682,2012,Major,NA,NA,Journalism
683,2012,Major,II,2,Cognitive Science
685,2012,Major,II,7,History
687,2012,Major,II,5,Political Science
688,2012,Major,NA,NA,Journalism
693,2012,Major,II,2,Psychology
694,2012,Major,I,4,Earth & Planetary Sciences
697,2012,Major,I,6,Integrated Science Program
699,2012,Major,I,3,Physics and Astronomy
703,2012,Major,II,2,Economics
705,2012,Major,NA,NA,Industrial Engineering
706,2012,Major,I,4,Environmental Sciences
707,2012,Major,II,5,Political Science
708,2012,Major,I,5,Biological Sciences
710,2012,Major,II,2,Psychology
711,2012,Major,II,2,Psychology
713,2012,Major,NA,NA,Radio/Television/Film
714,2012,Major,II,2,Economics
715,2012,Major,I,3,Chemistry
717,2012,Major,NA,NA,Journalism
719,2012,Major,II,2,Economics
722,2012,Major,II,2,Economics
724,2012,Major,III,1,Spanish
725,2012,Major,II,2,Psychology
726,2012,Major,II,2,Psychology
728,2012,Major,II,5,Anthropology
729,2012,Major,II,2,Economics
730,2012,Major,II,2,Economics
734,2012,Major,III,1,Spanish
736,2012,Major,NA,NA,Theatre
738,2012,Major,NA,NA,Journalism
740,2012,Major,I,1,Mathematics
741,2012,Major,NA,NA,Journalism
744,2012,Major,NA,NA,Applied Mathematics
747,2012,Major,II,2,Economics
748,2012,Major,NA,NA,Social Policy
750,2012,Major,I,4,Environmental Sciences
752,2012,Major,NA,NA,Wind & Percussion Instruments
753,2012,Major,I,1,Mathematics
755,2012,Major,III,1.5,Middle East & North African Studies
757,2012,Major,II,5,Political Science
759,2012,Major,I,1,Mathematics
761,2012,Major,II,5,Political Science
762,2012,Major,II,7,History
763,2012,Major,II,2,Economics
764,2012,Major,II,2,Psychology
769,2012,Major,II,2,Economics
772,2012,Major,II,2,Psychology
773,2012,Major,NA,NA,Journalism
774,2012,Major,I,3,Chemistry
775,2012,Major,I,5,Biological Sciences
777,2012,Major,III,2,English
779,2012,Major,II,2,Psychology
781,2012,Major,NA,NA,Biomedical Engineering
785,2012,Major,III,1,Spanish
786,2012,Major,II,5,Sociology
787,2012,Major,NA,NA,Learning & Organztnl Change
791,2012,Major,NA,NA,Journalism
793,2012,Major,III,3.5,Art History
799,2012,Major,I,1,Computer Science
800,2012,Major,I,3,Chemistry
801,2012,Major,NA,NA,Industrial Engineering
802,2012,Major,II,7,History
803,2012,Major,II,2,Psychology
804,2012,Major,NA,NA,Industrial Engineering
805,2012,Major,II,2,Economics
807,2012,Major,II,5,Political Science
811,2012,Major,II,2,Economics
812,2012,Major,I,1,Mathematics
813,2012,Major,II,5,Political Science
814,2012,Major,II,2,Psychology
816,2012,Major,II,2,Economics
817,2012,Major,II,2,Economics
818,2012,Major,III,2,English
819,2012,Major,I,5,Biological Sciences
820,2012,Major,II,2,Economics
823,2012,Major,II,2,Cognitive Science
824,2012,Major,II,5,Sociology
825,2012,Major,NA,NA,Music
827,2012,Major,NA,NA,Communication Studies
828,2012,Major,II,2,Psychology
831,2012,Major,NA,NA,Theatre
832,2012,Major,II,2,Economics
834,2012,Major,II,2,Psychology
836,2012,Major,II,2,Economics
837,2012,Major,II,2,Economics
838,2012,Major,II,5,Political Science
839,2012,Major,I,5,Biological Sciences
841,2012,Major,II,5,Political Science
842,2012,Major,NA,NA,Journalism
843,2012,Major,NA,NA,Journalism
845,2012,Major,II,2,Economics
846,2012,Major,I,1,Mathematics
847,2012,Major,NA,NA,Journalism
848,2012,Major,II,2,Psychology
849,2012,Major,I,5,Biological Sciences
852,2012,Major,II,2,Economics
853,2012,Major,III,3,Religious Studies
855,2012,Major,II,5,Political Science
856,2012,Major,NA,NA,Radio/Television/Film
858,2012,Major,II,6,African American Studies
860,2012,Major,I,5,Biological Sciences
861,2012,Major,NA,NA,Social Policy
862,2012,Major,I,4,Environmental Sciences
864,2012,Major,I,1,Mathematics
867,2012,Major,NA,NA,Dance
869,2012,Major,NA,NA,Theatre
870,2012,Major,II,2,Economics
871,2012,Major,I,4,Environmental Sciences
875,2012,Major,II,2,Economics
876,2012,Major,II,2,Economics
878,2012,Major,II,2,Psychology
879,2012,Major,NA,NA,Journalism
882,2012,Major,I,1,Mathematics
883,2012,Major,II,2,Economics
884,2012,Major,NA,NA,Industrial Engineering
886,2012,Major,II,5,Political Science
888,2012,Major,NA,NA,Industrial Engineering
889,2012,Major,NA,NA,Journalism
894,2012,Major,I,3,Physics and Astronomy
895,2012,Major,II,2,Psychology
902,2012,Major,II,2,Linguistics
903,2012,Major,NA,NA,Communication Studies
904,2012,Major,II,2,Economics
905,2012,Major,III,2,English
907,2012,Major,I,1,Mathematics
908,2012,Major,I,5,Biological Sciences
909,2012,Major,NA,NA,Applied Mathematics
912,2012,Major,I,5,Biological Sciences
913,2012,Major,II,6,American Studies
915,2012,Major,I,5,Biological Sciences
916,2012,Major,II,2,Economics
917,2012,Major,II,2,Economics
920,2012,Major,II,5,Political Science
924,2012,Major,III,3,Philosophy
925,2012,Major,NA,NA,Human Communication Sciences
926,2012,Major,I,5,Biological Sciences
927,2012,Major,I,5,Biological Sciences
928,2012,Major,II,5,Political Science
932,2012,Major,II,7,History
936,2012,Major,III,3.5,Art Theory and Practice
937,2012,Major,I,3,Chemistry
939,2012,Major,II,2,Psychology
940,2012,Major,NA,NA,Industrial Engineering
943,2012,Major,II,2,Economics
945,2012,Major,NA,NA,Theatre
947,2012,Major,III,2,English
948,2012,Major,I,6,Integrated Science Program
949,2012,Major,II,2,Economics
952,2012,Major,II,2,Economics
953,2012,Major,II,2,Economics
954,2012,Major,NA,NA,Industrial Engineering
955,2012,Major,II,2,Economics
956,2012,Major,II,2,Psychology
957,2012,Major,NA,NA,Theatre
958,2012,Major,NA,NA,Learning & Organztnl Change
959,2012,Major,II,2,Psychology
960,2012,Major,II,2,Economics
963,2012,Major,II,2,Economics
966,2012,Major,I,1,Mathematics
968,2012,Major,I,6,Integrated Science Program
971,2012,Major,I,5,Biological Sciences
974,2012,Major,II,2,Psychology
977,2012,Major,NA,NA,Theatre
979,2012,Major,II,2,Economics
984,2012,Major,I,1,Mathematics
987,2012,Major,NA,NA,Social Policy
988,2012,Major,II,5,Anthropology
990,2012,Major,II,5,Political Science
991,2012,Major,II,5,Sociology
992,2012,Major,II,2,Psychology
994,2012,Major,II,7,History
998,2012,Major,III,2,English
1000,2012,Major,II,5,Political Science
1003,2012,Major,NA,NA,Performance Studies
1004,2012,Major,III,2,English
1006,2012,Major,NA,NA,Journalism
1007,2012,Major,I,5,Biological Sciences
1009,2012,Major,II,2,Economics
1010,2012,Major,I,6,Integrated Science Program
1012,2012,Major,II,5,Political Science
1013,2012,Major,II,5,Political Science
1014,2012,Major,II,2,Economics
1018,2012,Major,II,7,History
1020,2012,Major,II,2,Economics
1022,2012,Major,I,5,Biological Sciences
1025,2012,Major,II,2,Psychology
1027,2012,Major,I,5,Biological Sciences
1028,2012,Major,II,5,Political Science
1029,2012,Major,NA,NA,Electrical Engineering
1030,2012,Major,II,2,Economics
1031,2012,Major,III,3,Religious Studies
1033,2012,Major,NA,NA,Industrial Engineering
1034,2012,Major,I,5,Biological Sciences
1035,2012,Major,NA,NA,Materials Science and Eng
1038,2012,Major,II,2,Economics
1040,2012,Major,I,5,Biological Sciences
1042,2012,Major,II,7,History
1043,2012,Major,II,2,Economics
1044,2012,Major,II,5,Political Science
1045,2012,Major,II,5,Political Science
1046,2012,Major,II,5,Political Science
1047,2012,Major,II,2,Economics
1048,2012,Major,NA,NA,Electrical Engineering
1052,2012,Major,NA,NA,Journalism
1053,2012,Major,I,5,Biological Sciences
1054,2012,Major,II,2,Economics
1055,2012,Major,NA,NA,Industrial Engineering
1057,2012,Major,NA,NA,Journalism
1059,2012,Major,II,2,Economics
1060,2012,Major,II,5,Political Science
1063,2012,Major,NA,NA,Wind & Percussion Instruments
1064,2012,Major,NA,NA,Radio/Television/Film
1065,2012,Major,NA,NA,Communication Studies
1067,2012,Major,II,2,Psychology
1069,2012,Major,II,2,Economics
1070,2012,Major,II,6,American Studies
1071,2012,Major,NA,NA,Electrical Engineering
1073,2012,Major,II,2,Psychology
1077,2012,Major,NA,NA,Journalism
1078,2012,Major,I,6,Integrated Science Program
1081,2012,Major,III,1,Spanish
1083,2012,Major,I,1,Mathematics
1087,2012,Major,II,2,Economics
1088,2012,Major,II,2,Psychology
1090,2012,Major,III,3,Philosophy
1091,2012,Major,NA,NA,Communication Studies
1093,2012,Major,II,5,Anthropology
1102,2012,Major,III,2,English
1104,2012,Major,NA,NA,Civil Engineering
1106,2012,Major,I,1,Mathematics
1107,2012,Major,II,5,Political Science
1108,2012,Major,II,2,Economics
1109,2012,Major,II,2,Economics
1114,2012,Major,II,2,Psychology
1115,2012,Major,II,2,Economics
1116,2012,Major,I,6,Integrated Science Program
1118,2012,Major,NA,NA,Radio/Television/Film
1120,2012,Major,NA,NA,Radio/Television/Film
1122,2012,Major,II,2,Economics
1123,2012,Major,NA,NA,Industrial Engineering
1124,2012,Major,II,2,Psychology
1125,2012,Major,II,2,Psychology
1127,2012,Major,II,2,Cognitive Science
1128,2012,Major,NA,NA,Mechanical Engineering
1131,2012,Major,NA,NA,Communication Studies
1133,2012,Major,II,2,Economics
1139,2012,Major,NA,NA,Human Development & Psych Srvs
1142,2012,Major,NA,NA,Radio/Television/Film
1144,2012,Major,II,7,History
1147,2012,Major,III,2,English
1148,2012,Major,II,6,American Studies
1149,2012,Major,II,2,Economics
1150,2012,Major,NA,NA,Mechanical Engineering
1151,2012,Major,NA,NA,Human Communication Sciences
1153,2012,Major,NA,NA,Social Policy
1154,2012,Major,I,6,Integrated Science Program
1155,2012,Major,I,1,Mathematics
1157,2012,Major,I,5,Biological Sciences
1161,2012,Major,NA,NA,Journalism
1163,2012,Major,NA,NA,Journalism
1164,2012,Major,I,6,Integrated Science Program
1169,2012,Major,II,5,Political Science
1171,2012,Major,III,2,English
1172,2012,Major,NA,NA,Biomedical Engineering
1173,2012,Major,II,7,History
1174,2012,Major,II,2,Economics
1175,2012,Major,NA,NA,Industrial Engineering
1177,2012,Major,NA,NA,Theatre
1178,2012,Major,II,2,Economics
1186,2012,Major,NA,NA,Radio/Television/Film
1187,2012,Major,NA,NA,Journalism
1188,2012,Major,II,2,Economics
1189,2012,Major,II,2,Linguistics
1190,2012,Major,II,2,Economics
1192,2012,Major,I,4,Earth & Planetary Sciences
1194,2012,Major,II,2,Economics
1196,2012,Major,I,4,Environmental Sciences
1197,2012,Major,II,6,American Studies
1198,2012,Major,NA,NA,Journalism
1199,2012,Major,I,1,Mathematics
1202,2012,Major,I,5,Biological Sciences
1203,2012,Major,II,2,Psychology
1204,2012,Major,III,2,Comparative Literary Studies
1205,2012,Major,I,1,Computer Science
1206,2012,Major,II,2,Psychology
1207,2012,Major,NA,NA,Journalism
1210,2012,Major,I,3,Chemistry
1211,2012,Major,I,5,Biological Sciences
1212,2012,Major,II,7,History
1213,2012,Major,I,5,Biological Sciences
1214,2012,Major,NA,NA,Journalism
1216,2012,Major,NA,NA,Mechanical Engineering
1217,2012,Major,NA,NA,Journalism
1218,2012,Major,I,6,Integrated Science Program
1219,2012,Major,II,7,History
1220,2012,Major,II,7,History
1222,2012,Major,II,6,African American Studies
1223,2012,Major,I,5,Biological Sciences
1225,2012,Major,NA,NA,Dance
1227,2012,Major,NA,NA,Industrial Engineering
1230,2012,Major,NA,NA,Journalism
1232,2012,Major,II,5,Political Science
1235,2012,Major,II,2,Economics
1236,2012,Major,II,7,History
1238,2012,Major,I,4,Earth & Planetary Sciences
1239,2012,Major,II,5,Political Science
1240,2012,Major,II,5,Anthropology
1241,2012,Major,NA,NA,Social Policy
1243,2012,Major,II,2,Economics
1245,2012,Major,NA,NA,Radio/Television/Film
1246,2012,Major,I,3,Physics and Astronomy
1247,2012,Major,II,2,Economics
1248,2012,Major,NA,NA,Radio/Television/Film
1249,2012,Major,I,1,Mathematics
1251,2012,Major,II,5,Political Science
1252,2012,Major,NA,NA,Journalism
1254,2012,Major,II,5,Political Science
1257,2012,Major,I,1,Mathematics
1258,2012,Major,II,2,Psychology
1261,2012,Major,II,5,Political Science
1263,2012,Major,II,5,Political Science
1266,2012,Major,II,2,Economics
1267,2012,Major,II,2,Psychology
1270,2012,Major,II,5,Anthropology
1271,2012,Major,III,3.5,Art History
1272,2012,Major,II,5,Sociology
1274,2012,Major,NA,NA,Communication Studies
1275,2012,Major,II,5,Political Science
1278,2012,Major,I,5,Biological Sciences
1280,2012,Major,II,2,Psychology
1281,2012,Major,NA,NA,Journalism
1282,2012,Major,NA,NA,Journalism
1286,2012,Major,I,5,Biological Sciences
1290,2012,Major,NA,NA,Human Development & Psych Srvs
1291,2012,Major,NA,NA,Radio/Television/Film
1294,2012,Major,II,6,American Studies
1296,2012,Major,II,2,Economics
1297,2012,Major,I,1,Mathematics
1299,2012,Major,II,2,Economics
1302,2012,Major,II,2,Psychology
1303,2012,Major,I,1,Mathematics
1306,2012,Major,II,7,History
1308,2012,Major,II,2,Linguistics
1311,2012,Major,II,2,Psychology
1317,2012,Major,II,2,Economics
1320,2012,Major,II,2,Economics
1321,2012,Major,II,2,Economics
1323,2012,Major,II,2,Economics
1324,2012,Major,III,3,Religious Studies
1325,2012,Major,NA,NA,Theatre
1329,2012,Major,II,5,Political Science
1330,2012,Major,II,2,Psychology
1331,2012,Major,NA,NA,Communication Studies
1336,2012,Major,I,4,Environmental Sciences
1356,2012,Major,II,5,Political Science
1420,2012,Major,I,5,Biological Sciences
1450,2012,Major,II,2,Psychology
1575,2012,Major,II,7,History
1579,2012,Major,II,5,Anthropology
1727,2012,Major,II,2,Cognitive Science
1753,2012,Major,III,1,French
1810,2012,Major,II,2,Psychology
1814,2012,Major,II,2,Psychology
1882,2012,Major,I,5,Biological Sciences
1885,2012,Major,II,5,Political Science
1924,2012,Major,II,7,History
1940,2012,Major,II,2,Economics
1975,2012,Major,I,1,Mathematics
2004,2012,Major,I,6,Integrated Science Program
2051,2012,Major,II,2,Economics
2083,2012,Major,I,6,Integrated Science Program
2091,2012,Major,II,2,Psychology
2209,2012,Major,I,1,Statistics
2210,2012,Major,II,5,Sociology
2243,2012,Major,I,5,Biological Sciences
2314,2012,Major,II,2,Economics
2318,2012,Major,II,2,Psychology
2369,2012,Major,II,2,Economics
2413,2012,Major,NA,NA,Journalism
2418,2012,Major,I,5,Biological Sciences
2470,2012,Major,I,6,Integrated Science Program
2575,2012,Major,II,2,Psychology
2577,2012,Major,II,5,Political Science
2579,2012,Major,II,2,Psychology
2580,2012,Major,III,2,English
2583,2012,Major,III,2,English
2586,2012,Major,II,2,Economics
2588,2012,Major,III,2,English
2599,2012,Major,III,2,English
2600,2012,Major,II,2,Economics
2620,2012,Major,II,2,Economics
2624,2012,Major,II,2,Economics
2625,2012,Major,I,3,Chemistry
2626,2012,Major,III,2,English
2628,2012,Major,II,2,Economics
2635,2012,Major,II,7,History
2636,2012,Major,III,2,English
2637,2012,Major,II,2,Economics
2638,2012,Major,II,5,Political Science
